Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,ApplicantIncome_log,LoanAmount_log,Year,InterestRate
Male,No,0,Graduate,No,5849,0.0,128000.0,360.0,1.0,Urban,1,8.674025985443025,11.759785542901755,2022,2.1725
Male,Yes,1,Graduate,No,4583,1508.0,128000.0,360.0,1.0,Rural,0,8.430109084509125,11.759785542901755,2019,2.0125
Male,Yes,0,Graduate,Yes,3000,0.0,66000.0,360.0,1.0,Urban,1,8.006367567650246,11.097410021008562,2023,4.51
Male,Yes,0,Not Graduate,No,2583,2358.0,120000.0,360.0,1.0,Urban,1,7.8567067930958405,11.695247021764184,2020,1.855
Male,No,0,Graduate,No,6000,0.0,141000.0,360.0,1.0,Urban,1,8.699514748210191,11.856515169360305,2022,2.1725
Male,Yes,2,Graduate,Yes,5417,4196.0,267000.0,360.0,1.0,Urban,1,8.597297435657898,12.495003937382387,2018,2.185
Male,Yes,0,Not Graduate,No,2333,1516.0,95000.0,360.0,1.0,Urban,1,7.75491027202143,11.461632170582678,2022,2.1725
Male,Yes,3+,Graduate,No,3036,2504.0,158000.0,360.0,0.0,Semiurban,0,8.01829613851552,11.970350312009105,2023,4.51
Male,Yes,2,Graduate,No,4006,1526.0,168000.0,360.0,1.0,Urban,1,8.295548516225763,12.031719258385396,2020,1.855
Male,Yes,1,Graduate,No,12841,10968.0,349000.0,360.0,1.0,Semiurban,0,9.460398455831275,12.762827201184564,2019,2.0125
Male,Yes,2,Graduate,No,3200,700.0,70000.0,360.0,1.0,Urban,1,8.070906088787819,11.156250521031495,2023,4.51
Male,Yes,2,Graduate,No,2500,1840.0,109000.0,360.0,1.0,Urban,1,7.824046010856292,11.59910316121128,2023,4.51
Male,Yes,2,Graduate,No,3073,8106.0,200000.0,360.0,1.0,Urban,1,8.030409562130485,12.206072645530174,2018,2.185
Male,No,0,Graduate,No,1853,2840.0,114000.0,360.0,1.0,Rural,0,7.52456122628536,11.643953727376633,2021,1.8275000000000001
Male,Yes,2,Graduate,No,1299,1086.0,17000.0,120.0,1.0,Urban,1,7.1693500166706,9.740968623038354,2020,1.855
Male,No,0,Graduate,No,4950,0.0,125000.0,360.0,1.0,Urban,1,8.507142855562735,11.736069016284437,2017,2.3274999999999997
Male,No,1,Not Graduate,No,3596,0.0,100000.0,240.0,1.0,Urban,1,8.18757739559151,11.512925464970229,2023,4.51
Female,No,0,Graduate,No,3510,0.0,76000.0,360.0,0.0,Urban,0,8.163371316459912,11.238488619268468,2021,1.8275000000000001
Male,Yes,0,Not Graduate,No,4887,0.0,133000.0,360.0,1.0,Rural,0,8.494333897270154,11.79810440720389,2017,2.3274999999999997
Male,Yes,0,Graduate,No,2600,3500.0,115000.0,360.0,1.0,Urban,1,7.8632667240095735,11.652687407345388,2020,1.855
Male,Yes,0,Not Graduate,No,7660,0.0,104000.0,360.0,0.0,Urban,0,8.943767262734637,11.55214617812351,2016,2.51
Male,Yes,1,Graduate,No,5955,5625.0,315000.0,360.0,1.0,Urban,1,8.691986481789401,12.66032791780777,2021,1.8275000000000001
Male,Yes,0,Not Graduate,No,2600,1911.0,116000.0,360.0,0.0,Semiurban,0,7.8632667240095735,11.661345470088502,2024,4.5175
Male,Yes,2,Not Graduate,No,3365,1917.0,112000.0,360.0,0.0,Rural,0,8.121183242078828,11.626254150277232,2016,2.51
Male,Yes,1,Graduate,No,3717,2925.0,151000.0,360.0,1.0,Semiurban,0,8.220672170297252,11.925035115797062,2018,2.185
Male,Yes,0,Graduate,Yes,9560,0.0,191000.0,360.0,1.0,Semiurban,1,9.165343006045447,12.160028707028767,2022,2.1725
Male,Yes,0,Graduate,No,2799,2253.0,122000.0,360.0,1.0,Semiurban,1,7.937017489515454,11.711776323715394,2019,2.0125
Male,Yes,2,Not Graduate,No,4226,1040.0,110000.0,360.0,1.0,Urban,1,8.349011198176003,11.608235644774552,2024,4.5175
Male,No,0,Not Graduate,No,1442,0.0,35000.0,360.0,1.0,Urban,0,7.273786317844895,10.46310334047155,2018,2.185
Female,No,2,Graduate,No,3750,2083.0,120000.0,360.0,1.0,Semiurban,1,8.229511118964457,11.695247021764184,2020,1.855
Male,Yes,1,Graduate,No,4166,3369.0,201000.0,360.0,1.0,Urban,0,8.334711621820917,12.211060187041213,2018,2.185
Male,No,0,Graduate,No,3167,0.0,74000.0,360.0,1.0,Urban,0,8.06054004653864,11.211820372186306,2022,2.1725
Male,No,1,Graduate,Yes,4692,0.0,106000.0,360.0,1.0,Rural,0,8.453614209773367,11.571194373094205,2020,1.855
Male,Yes,0,Graduate,No,3500,1667.0,114000.0,360.0,1.0,Semiurban,1,8.160518247477505,11.643953727376633,2024,4.5175
Male,No,3+,Graduate,No,12500,3000.0,320000.0,360.0,1.0,Rural,0,9.433483923290392,12.676076274775909,2022,2.1725
Male,Yes,0,Graduate,No,2275,2067.0,128000.0,360.0,1.0,Urban,1,7.729735331385051,11.759785542901755,2017,2.3274999999999997
Male,Yes,0,Graduate,No,1828,1330.0,100000.0,360.0,0.0,Urban,0,7.510977752014095,11.512925464970229,2019,2.0125
Female,Yes,0,Graduate,No,3667,1459.0,144000.0,360.0,1.0,Semiurban,1,8.207129168071326,11.877568578558138,2024,4.5175
Male,No,0,Graduate,No,4166,7210.0,184000.0,360.0,1.0,Urban,1,8.334711621820917,12.122691036591123,2017,2.3274999999999997
Male,No,0,Not Graduate,No,3748,1668.0,110000.0,360.0,1.0,Semiurban,1,8.228977643358313,11.608235644774552,2024,4.5175
Male,No,0,Graduate,No,3600,0.0,80000.0,360.0,1.0,Urban,0,8.1886891244442,11.289781913656018,2020,1.855
Male,No,0,Graduate,No,1800,1213.0,47000.0,360.0,1.0,Urban,1,7.495541943884256,10.757902880692196,2017,2.3274999999999997
Male,Yes,0,Graduate,No,2400,0.0,75000.0,360.0,1.0,Urban,1,7.783224016336037,11.225243392518447,2019,2.0125
Male,Yes,0,Graduate,No,3941,2336.0,134000.0,360.0,1.0,Semiurban,1,8.279189777195004,11.805595078933049,2022,2.1725
Male,Yes,0,Not Graduate,Yes,4695,0.0,96000.0,360.0,1.0,Urban,1,8.454253391642363,11.472103470449973,2023,4.51
Female,No,0,Graduate,No,3410,0.0,88000.0,360.0,1.0,Urban,1,8.134467570277563,11.385092093460344,2018,2.185
Male,Yes,1,Graduate,No,5649,0.0,44000.0,360.0,1.0,Urban,1,8.639233817325263,10.691944912900398,2016,2.51
Male,Yes,0,Graduate,No,5821,0.0,144000.0,360.0,1.0,Urban,1,8.669227347271736,11.877568578558138,2019,2.0125
Female,Yes,0,Graduate,No,2645,3440.0,120000.0,360.0,0.0,Urban,0,7.8804263442924,11.695247021764184,2017,2.3274999999999997
Female,No,0,Graduate,No,4000,2275.0,144000.0,360.0,1.0,Semiurban,1,8.294049640102028,11.877568578558138,2023,4.51
Female,Yes,0,Not Graduate,No,1928,1644.0,100000.0,360.0,1.0,Semiurban,1,7.564238475170491,11.512925464970229,2019,2.0125
Female,No,0,Graduate,No,3086,0.0,120000.0,360.0,1.0,Semiurban,1,8.034631032923107,11.695247021764184,2017,2.3274999999999997
Female,No,0,Graduate,No,4230,0.0,112000.0,360.0,1.0,Semiurban,0,8.349957272040324,11.626254150277232,2021,1.8275000000000001
Male,Yes,2,Graduate,No,4616,0.0,134000.0,360.0,1.0,Urban,0,8.437283808187935,11.805595078933049,2021,1.8275000000000001
Female,Yes,1,Graduate,Yes,11500,0.0,286000.0,360.0,0.0,Urban,0,9.350102314351341,12.56374708980199,2019,2.0125
Male,Yes,2,Graduate,No,2708,1167.0,97000.0,360.0,1.0,Semiurban,1,7.903965634032166,11.48246625748552,2021,1.8275000000000001
Male,Yes,0,Graduate,No,2132,1591.0,96000.0,360.0,1.0,Semiurban,1,7.664815785285735,11.472103470449973,2017,2.3274999999999997
Male,Yes,0,Graduate,No,3366,2200.0,135000.0,360.0,1.0,Rural,0,8.121480374750751,11.813030057420567,2017,2.3274999999999997
Male,Yes,1,Graduate,No,8080,2250.0,180000.0,360.0,1.0,Urban,1,8.997147151515142,12.100712129872347,2019,2.0125
Male,Yes,2,Not Graduate,No,3357,2859.0,144000.0,360.0,1.0,Urban,1,8.118802996980035,11.877568578558138,2023,4.51
Male,Yes,0,Graduate,No,2500,3796.0,120000.0,360.0,1.0,Urban,1,7.824046010856292,11.695247021764184,2022,2.1725
Male,Yes,3+,Graduate,No,3029,0.0,99000.0,360.0,1.0,Urban,1,8.015987811027237,11.502875129116727,2024,4.5175
Male,Yes,0,Not Graduate,Yes,2609,3449.0,165000.0,180.0,0.0,Rural,0,7.866722285136729,12.013700752882718,2023,4.51
Male,Yes,1,Graduate,No,4945,0.0,128000.0,360.0,0.0,Rural,0,8.506132244056813,11.759785542901755,2020,1.855
Female,No,0,Graduate,No,4166,0.0,116000.0,360.0,0.0,Semiurban,0,8.334711621820917,11.661345470088502,2017,2.3274999999999997
Male,Yes,0,Graduate,No,5726,4595.0,258000.0,360.0,1.0,Semiurban,0,8.65277248565806,12.460714863903755,2020,1.855
Male,No,0,Not Graduate,No,3200,2254.0,126000.0,180.0,0.0,Urban,0,8.070906088787819,11.744037185933616,2023,4.51
Male,Yes,1,Graduate,No,10750,0.0,312000.0,360.0,1.0,Urban,1,9.28266103355581,12.65075846679162,2024,4.5175
Male,Yes,3+,Not Graduate,Yes,7100,0.0,125000.0,60.0,1.0,Urban,1,8.867850063029406,11.736069016284437,2024,4.5175
Female,No,0,Graduate,No,4300,0.0,136000.0,360.0,0.0,Semiurban,0,8.366370301681654,11.820410164718188,2016,2.51
Male,Yes,0,Graduate,No,3208,3066.0,172000.0,360.0,1.0,Urban,1,8.073402968986406,12.05524975579559,2024,4.5175
Male,Yes,2,Not Graduate,Yes,1875,1875.0,97000.0,360.0,1.0,Semiurban,1,7.536363938404511,11.48246625748552,2022,2.1725
Male,No,0,Graduate,No,3500,0.0,81000.0,300.0,1.0,Semiurban,1,8.160518247477505,11.302204433654575,2024,4.5175
